Command: /home/users5/ec385912/ECE527LSP22/ece527l-lab10/fifo/sim/netlist_sim/./simv -l sim_netlist.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  7 21:28 2022
Doing SDF annotation ...... Done
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
WR: 1, OE: 0 | DOUT: 44, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 45, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 47, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 46, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 47, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 48, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 49, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 4f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 50, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 51, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 53, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 52, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 53, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 57, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 54, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 55, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 57, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 56, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 57, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 58, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 59, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 5f, EMPTY: 0, FULL: 0
